Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
1997	12	10		1997	12	10		a_transmis	En réponse, SCHNEIDER ELECTRICS SA a transmis, par courrier du 10 décembre 1997, le mémoire de remise en état demandé.		'SCHNEIDER ELECTRICS SA'
1997				1997				a_été_coulée	Cette dalle a été coulée en 1997 lors des travaux de construction de nouveaux bâtiments sur le site par SCHNEIDER ELECTRIC ; travaux lors desquels la pollution aux PCB a été identifiée.	'aux PCB'	'SCHNEIDER ELECTRIC'
2013				2013				a_procédé_à	En 2013, SIEMENS TRANSMISSION ET DISTRIBUTION a procédé à une cessation partielle d’activité en arrêtant son activité de nettoyage de pièces (rubrique 2565) et les installations associées (rubriques 2921 et 2940).		'SIEMENS', 'TRANSMISSION ET DISTRIBUTION'
2017				2017				l__étude	Suite à l’étude de 2017 qui avait permis de révéler diverses zones impactées sans délimitation claire, des investigations ont été menées en 2018 dans les sols, les gaz du sol et l’air ambiant au droit de la zone sud du site SIEMENS, ainsi que dans les eaux souterraines.		'SIEMENS'
1992				1992				est_devenu	En 1992, MERLIN GERIN est devenu une filiale du groupe SCHNEIDER.		'MERLIN GERIN', 'groupe SCHNEIDER'
2018				2018				des_investigations	Suite à l’étude de 2017 qui avait permis de révéler diverses zones impactées sans délimitation claire, des investigations ont été menées en 2018 dans les sols, les gaz du sol et l’air ambiant au droit de la zone sud du site SIEMENS, ainsi que dans les eaux souterraines.		'SIEMENS'
2017				2017				une_étude_historique	En 2017, SIEMENS SAS a réalisé une étude historique de son site en vue d’un projet de redéveloppement de la partie sud du site.		'SIEMENS SAS'
2002				2002				a_été_remplacée_par	En 2002, la raison sociale SCHNEIDER ELECTRIC VOLTAGE SA a été remplacée par VATECH TRANSMISSION ET DISTRIBUTION SA.		'sociale SCHNEIDER ELECTRIC VOLTAGE SA', 'VATECH TRANSMISSION ET DISTRIBUTION SA'
2001				2001				a_été_créée	En 2001, une joint-venture a été créée entre VATECH et SCHNEIDER ELECTRIC pour créer l’entité HAUTE TENSION qui est devenu VATECH – SCHNEIDER ELECTRIC HIGH VOLTAGE.		'VATECH et SCHNEIDER ELECTRIC', 'HAUTE TENSION', 'VATECH – SCHNEIDER ELECTRIC HIGH VOLTAGE'
2013				2013				a_fait_procéder_à	À l’arrêt de cette activité en 2013, SIEMENS a fait procéder à des investigations de sol au droit de l’aire de lavage.		'SIEMENS'
1996	08	28		1996	08	28		était_auparavant_réglementé	Le site était auparavant réglementé par l’arrêté du 28 août 1996.		
2005				2005				de_la_reprise	Lors de la reprise du site par la société SIEMENS en 2005, il n’y avait plus de transformateurs contenant des PCB sur l’emprise du site repris par SIEMENS.	'PCB'	'la société SIEMENS', 'SIEMENS'
2005				2005				avait_plus_de_transformateurs	Lors de la reprise du site par la société SIEMENS en 2005, il n’y avait plus de transformateurs contenant des PCB sur l’emprise du site repris par SIEMENS.	'PCB'	'la société SIEMENS', 'SIEMENS'
2014	04			2014	04			fusionne_avec	En avril 2014, SIEMENS TRANSMISSION ET DISTRIBUTION fusionne avec SIEMENS SAS et prend la dénomination sociale SIEMENS SAS.		'SIEMENS TRANSMISSION ET DISTRIBUTION', 'SIEMENS SAS', 'SIEMENS SAS'
2017				2017				des_investigations_environnementales	En 2017, dans le cadre d'un projet de redéveloppement de la zone sud du site, la société SIEMENS SAS actuelle occupante du site, a réalisé des investigations environnementales sur la moitié sud du site, où se situe notamment le bâtiment B3.		'la société SIEMENS'
2000				2000				a_porté	En 2000, la société SCHNEIDER ELECTRIC a porté à la connaissance de l’inspection des installations classées que les transformateurs aux PCB qui étaient présents dans l’usine B ont été éliminés.	'PCB'	'la société SCHNEIDER ELECTRIC'
2005				2005				a_été_acheté	En 2005, le site a été acheté par la société SIEMENS.		'la société SIEMENS'
2009	11	17		2009	11	17		a_obtenu	Par arrêté préfectoral du 17 novembre 2009, la société SIEMENS TRANSMISSION ET DISTRIBUTION a obtenu l’autorisation d’exploiter une nouvelle ligne de traitement de surface au titre de la rubrique 2565.		'la société SIEMENS TRANSMISSION', 'ET DISTRIBUTION'
1997				1997				Des_mesures	Des mesures de gestion des terres polluées aux PCB avaient d’ailleurs été mises en œuvre par SCHNEIDER ELECTRICS SA en 1997 dans le cadre de l’arrêt de la fabrication des transformateurs.	'PCB'	'SCHNEIDER ELECTRICS SA'
1946				2002				l__activité_historique	La société SIEMENS considère que cette pollution n’est pas liée à son activité, mais qu’elle est liée à l’activité historique des sociétés MERLIN GERIN / SCHNEIDER sur ce site entre 1946 et 2002.		'La société SIEMENS', 'des sociétés MERLIN GERIN / SCHNEIDER'
				1977				étaient_utilisés	Des PCB étaient utilisés pour l’activité de fabrication de transformateurs jusqu’en 1977.	'Des PCB'	
2006				2006				a_intégré	En 2006, le site a intégré SIEMENS TRANSMISSION ET DISTRIBUTION.		'SIEMENS TRANSMISSION'
2000				2000				derniers_transformateurs	Les derniers transformateurs contenant des PCB avaient été éliminés depuis 2000 et l’activité de SIEMENS n’est pas de nature à utiliser des PCB.	'des PCB', 'PCB'	'SIEMENS'
1997	12	10		1997	12	10		par_courrier	En réponse, SCHNEIDER ELECTRICS SA a transmis, par courrier du 10 décembre 1997, le mémoire de remise en état demandé.		'SCHNEIDER ELECTRICS SA'
2013				2013				l__arrêt	À l’arrêt de cette activité en 2013, SIEMENS a fait procéder à des investigations de sol au droit de l’aire de lavage.		'SIEMENS'
1994				1994				est_devenu	En 1994, le site est devenu SCHNEIDER ELECTRIC SA et s’est spécialisé dans la fabrication d’équipements haute tension.		'SCHNEIDER ELECTRIC SA'
2018				2018				Cette_étude_historique	Cette étude historique a été complétée en 2018 à partir de nouveaux éléments et des investigations de sols, de gaz du sol, d’air ambiant et des eaux souterraines sont menées.		
1987				1987				a_déclaré	En 1987, MERLIN GERIN a déclaré l’emploi de quatre transformateurs aux PCB dans l’usine B (correspondant à la zone sud de l’actuel site SIEMENS) au titre de la rubrique 1180.	'PCB'	'MERLIN GERIN', 'SIEMENS'
1946				1946				a_été_développé	Le site a été développé en 1946 par la société MERLIN GERIN pour la fabrication de panneaux électriques et de transformateurs.		'la société MERLIN GERIN'
1997	08	21		1997	08	21		a_demandé	Par courrier du 21 août 1997, le préfet a demandé à la société SCHNEIDER ELECTRIC SA de remettre un mémoire de remise en état du site suite à la découverte d’une pollution aux PCB lors de travaux de réaménagement de l’usine B (actuelle zone sud du site SIEMENS).	'PCB'	'le préfet', 'la société SCHNEIDER ELECTRIC SA', 'SIEMENS'
