Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
1930				1971				a_ensuite_été_convertie	Elle a ensuite été convertie en station gazométrique de 1930 à 1971, puis utilisée pour des tâches administratives jusqu’en 1997.		
2003	10			2003	10			a_été_réalisée	La vidange d'une nouvelle cuve à goudrons, mise à jour lors de travaux effectués par la mairie sur le domaine public, a été réalisée par Gaz de France en octobre 2003.	'goudrons'	'Gaz de France'
1996	04	25		1996	04	25		signé	L'application de cette méthode a abouti à l'établissement de 5 classes de priorité pour lesquelles les engagements de Gaz de France ont fait l'objet d'un protocole d'accord relatif à la maîtrise et au suivi de la réhabilitation des anciens terrains d'usines à gaz entre le Ministère chargé de l'Environnement et Gaz de France signé le 25 avril 1996.		'Gaz de France', "le Ministère chargé de l' Environnement", 'Gaz de France'
2014	01			2014	01			une_analyse_des_risques_résiduels	En janvier 2014, GDF Suez a remis une analyse des risques résiduels (ARR) visant à justifier la compatibilité de l'aménagement projeté avec la pollution résiduelle du site.		'GDF Suez'
1830				1930				a_fonctionné	L’usine a fonctionné durant un siècle, de 1830 à 1930.		
2016				2016				a_apporté_des_modifications	En 2016, ENGIE a apporté des modifications à son projet d'aménagement avec l'ajout d’évents dans les parkings du bâtiment A au droit de la parcelle AP256 et a, dans ce cadre, modifié l'ARR dont les conclusions restent inchangées.		'ENGIE'
2011	07			2011	07			a_sollicité	En juillet 2011, sur la base d'un bilan de la surveillance, GDF a sollicité l'autorisation d'interrompre la surveillance de la qualité des eaux souterraines, et a indiqué qu'une reconversion du site était à l'étude pour un usage de type habitations collectives et maisons.		'GDF'
				1997				utilisée_pour	Elle a ensuite été convertie en station gazométrique de 1930 à 1971, puis utilisée pour des tâches administratives jusqu’en 1997.		
				1997				des_tâches_administratives	Elle a ensuite été convertie en station gazométrique de 1930 à 1971, puis utilisée pour des tâches administratives jusqu’en 1997.		
1999				2003				plusieurs_campagnes_de_surveillance	Entre 1999 et 2003, plusieurs campagnes de surveillance de la qualité des eaux souterraines ont été réalisées et ont mis en évidence une pollution résiduelle des eaux souterraines avec des traces de cyanures et d'ammonium.	'cyanures', 'ammonium'	
								les_rapports	En février et mars 2015, ENGIE (ex-GDF Suez) a transmis à l’inspection des installations classées les rapports relatifs aux travaux de dépollution réalisés au droit des parcelles n°AP 256 et n°AP 258 ainsi que l’analyse des risques résiduels (ARR) mise à jour après travaux.		'ENGIE', 'ex-GDF Suez'
2015	03			2015	03			les_rapports	En février et mars 2015, ENGIE (ex-GDF Suez) a transmis à l’inspection des installations classées les rapports relatifs aux travaux de dépollution réalisés au droit des parcelles n°AP 256 et n°AP 258 ainsi que l’analyse des risques résiduels (ARR) mise à jour après travaux.		'ENGIE', 'ex-GDF Suez'
2000	05			2000	05			Des_travaux_de_vidange	Des travaux de vidange et de neutralisation des cuves et d'excavation de terres polluées ont été réalisés en mai 2000.		
