Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2000	01	05		2000	01	05		Le_diagnostic_initial_transmis	Le diagnostic initial transmis à la DRIRE Midi-Pyrénées le 5 janvier 2000 a localisé neuf zones à risque potentiel de pollution, constituées d'aires de stockage de produits ou déchets et de zones sur lesquelles ont eu lieu des déversements accidentels.	'produits ou déchets'	'la DRIRE Midi'
2000	05	15		2000	05	15		a_demandé	Par courrier du 15 mai 2000, la DRIRE Midi-Pyrénées a demandé à l'exploitant la notation ESR du site.		'la DRIRE Midi - Pyrénées'
2000	12	1		2000	12	1		reçus	Les arguments reçus le 1er décembre 2000 n'ont pas été jugés suffisants pour entériner en l'état le classement du site et la DRIRE Midi-Pyrénées a demandé des compléments d'information.		'la DRIRE Midi'
2001	04	19		2001	04	19		ont_été_transmis	Ceux-ci ont été transmis à la DRIRE le 19 avril 2001.		'la DRIRE'
1994	06	28		1994	06	28		un_arrêté_d_	Le site est actuellement réglementé par un arrêté d'autorisation du 28 juin 1994.		
1996	04	03		1996	04	03		la_réalisation_d__un_diagnostic_initial	Les activités exercées sur le site, notamment l'atelier de traitement de surfaces étant susceptibles d'avoir été à l'origine d'une pollution éventuelle du sol, sur proposition de la DRIRE Midi-Pyrénées, un arrêté préfectoral complémentaire du 28 mai 1999, pris conformément à la circulaire du 3 avril 1996, a prescrit à l'exploitant la réalisation d'un diagnostic initial et d'une évaluation simplifiée des risques sur l'ensemble du site.		'la DRIRE Midi'
1984				1984				créée	Usine créée en 1984, procédant à des opérations de métallisation sous vide et de vernissage de pièces en plastique, équipée d'un atelier de traitement de surfaces pour le décapage des supports des pièces à traiter.		
2002	01	29		2002	01	29		la_banalisation	Un courrier, adressé à l'entreprise le 29 janvier 2002, a validé la banalisation du site, sans restriction d'usage, dans son état actuel d'utilisation (usage industriel), tout en indiquant qu'en cas de changement d'affectation ou de cession ou de remaniements de terrains sur le site, la notation devrait être revue afin de prendre en compte son nouvel usage.		
1994	06	28		1994	06	28		est_actuellement_réglementé	Le site est actuellement réglementé par un arrêté d'autorisation du 28 juin 1994.		
