Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2012				2012				a_racheté	En 2012, la SNAM a racheté le bâtiment administratif ainsi qu'un bâtiment de stockage situé derrière les bureaux.		'la SNAM'
1942				1942				fonde	En 1942 la société Ugine Kuhlman fonde la société VMK (Vieille Montagne Kuhlman) et implante une usine de fabrication de lithopone (co-précipité de sulfure de zinc et de sulfate de baryum utilisé comme pigment blanc notamment dans les peintures), utilisant la barytine dont de nombreux gisements sont connus dans l'Aveyron et le sulfate de zinc de l'usine de la société Vieille Montagne déjà présente sur le secteur.	'lithopone', 'sulfure', 'zinc', 'sulfate de baryum', 'pigment blanc', 'les peintures', 'barytine', 'sulfate', 'zinc'	'la société Ugine Kuhlman', 'la société VMK', 'Vieille Montagne Kuhlman', 'la société Vieille Montagne'
2007				2007				ne_transmets_plus	Depuis, 2007, la société ABC ne transmets plus ses analyses à la DREAL M.		'la société ABC', 'la DREAL M.'
1989				1989				s__arrête	L'activité de SPCV s'arrête en 1989.		'SPCV'
2004	05	25		2004	05	25		version_actualisée	L'exploitant a transmis le 25 mai 2004 la version actualisée de la notation ESR.		
2003	12	10		2003	12	10		a_prescrit	Ce projet d'arrêté ayant reçu un avis favorable du conseil départemental d'hygiène lors de sa séance du 10 décembre 2003, l'arrêté préfectoral n° 2004-014-1 du 14 janvier 2004 a prescrit à l'exploitant une surveillance semestrielle des eaux souterraines sur un piézomètre à l'amont hydraulique du site et trois à l'aval hydraulique.		
1996				1996				est_propriétaire	Cette société est propriétaire du terrain depuis 1996 et ses installations ont fait l'objet d'un récépissé de déclaration du 27 novembre 1996 au titre des rubriques 2515, 2910 et 2920 de la nomenclature des installations classées pour la protection de l'environnement.		
1990				1990				créée	L'exploitant actuel est la société ABC SA, créée en 1990, qui est spécialisée dans le traitement à façon des minéraux : principalement broyage et calcination de talcs, micas, kaolins.		'la société ABC SA'
2003	01	24		2003	01	24		un_courrier	Suite à l'examen critique de l'étude de sols par l'inspection des installations classées, un courrier du 24 janvier 2003 de l'inspection à l'exploitant lui a demandé :		
1974				1974				est_reprise	En 1974, malgré la concurrence du lithopone par l'oxyde de titane, l'activité est reprise par la société Vieille Montagne qui fonde la SPCV (Société des Produits Chimiques de Viviez) pour valoriser le sulfate de zinc qu'elle produit à proximité.	'lithopone', "l' oxyde de titane", 'sulfate de zinc'	'la société Vieille Montagne', 'la SPCV ( Société des Produits Chimiques de Viviez'
2003				2003				a_fourni	L'exploitant a fourni au cours de l'année 2003 les compléments et résultats d'analyses demandés.		
2005	02			2005	02			Une_Evaluation_Détaillée_des_Risques	Une Evaluation Détaillée des Risques a été réalisée en février 2005 et a révélé une problématique de pollution des sols de type "métaux" (zinc, cadmium, arsenic et plomb).	'zinc', 'cadmium', 'arsenic', 'plomb'	
1996	11	27		1996	11	27		de_déclaration	Cette société est propriétaire du terrain depuis 1996 et ses installations ont fait l'objet d'un récépissé de déclaration du 27 novembre 1996 au titre des rubriques 2515, 2910 et 2920 de la nomenclature des installations classées pour la protection de l'environnement.		
1999	11			1999	11			Cette_étude	Cette étude datée de novembre 1999 est parvenue à la DREAL Midi-Pyrénées (M.		'la DREAL Midi'
