Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2013				2013				Les_travaux_de_dépollution	Les travaux de dépollution ont été achevés fin 2013 et le 1er trimestre 2014 a été consacré à la remise en état du chantier.		
2005				2005				Des_mesures_effectuées	Des mesures effectuées en 2005 et 2009, dans les eaux et les sédiments de la rivière le Sichon, ont démontrés qu'il n'y a aucun impact.		
								la_remise_en_état_du_chantier	Les travaux de dépollution ont été achevés fin 2013 et le 1er trimestre 2014 a été consacré à la remise en état du chantier.		
2004				2004				vont_faire_procéder	A partir de 2004 les sociétés MANURHIN DEFENSE puis GIAT INDUSTRIES vont faire procéder à diverses investigations dans les sols et les eaux souterraines et à des études sanitaires.		'les sociétés MANURHIN DEFENSE puis GIAT INDUSTRIES'
2014	07	21		2014	07	21		a_été_pris	L'arrêté prescrivant le suivi de la qualité des eaux souterraines a été pris le 21/07/2014.		
2014	03	15		2014	03	15		un_dossier_de_récolement	La société GIAT INDUSTRIES a transmis à l'administration, en date du 15/03/2014, un dossier de récolement des travaux réalisés.		'La société GIAT INDUSTRIES'
2011				2011				a_repris_l_	Courant 2011, la société GIAT INDUSTRIES a repris l'ensemble du patrimoine et des obligations de la société MANURHIN DEFENSE et a ainsi endossé la responsabilité de l'ancien exploitant.		'la société GIAT INDUSTRIES', 'la société MANURHIN DEFENSE'
2013	02			2013	02			désamiantage	Les travaux de dépollution ont débutés en février 2013, le 1er semestre a été consacré au désamiantage des bâtiments, à leur démolition, à la préparation du terrain et à l'installation des infrastructures de dépollution.		
1938				1938				était_utilisé_pour	Avant 1938, ce site était utilisé pour la réparation et le stockage de wagons de chemin de fer.		
1939				1939				a_été_autorisée_à_exploiter	Dès 1939, la Manufacture des machines du Haut-Rhin a été autorisée à exploiter son activité par arrêté préfectoral.		'Haut-Rhin'
								désamiantage	Les travaux de dépollution ont débutés en février 2013, le 1er semestre a été consacré au désamiantage des bâtiments, à leur démolition, à la préparation du terrain et à l'installation des infrastructures de dépollution.		
2008	11			2008	11			a_mis_en_évidence	En novembre 2008, une campagne de sondages sols, le long de la voie ferrée, a mis en évidence une zone polluée aux hydrocarbures.	'hydrocarbures'	
1938				1938				la_réparation_et_le_stockage_de_wagons_de_chemin_de_fer	Avant 1938, ce site était utilisé pour la réparation et le stockage de wagons de chemin de fer.		
2013	02			2013	02			Les_travaux_de_dépollution	Les travaux de dépollution ont débutés en février 2013, le 1er semestre a été consacré au désamiantage des bâtiments, à leur démolition, à la préparation du terrain et à l'installation des infrastructures de dépollution.		
2005	03			2005	03			a_été_implanté	A partir de mars 2005, un réseau de 8 piézomètres a été implanté au droit et en aval hydraulique du site et des campagnes de prélèvements des eaux souterraines ont été mises en place.		
2011	09	29		2011	09	29		sera_pris	Un arrêté préfectoral encadrant la dépollution du site sera pris le 29 septembre 2011.		
2014				2014				la_remise_en_état_du_chantier	Les travaux de dépollution ont été achevés fin 2013 et le 1er trimestre 2014 a été consacré à la remise en état du chantier.		
2007				2007				Un_démantèlement_partiel	Un démantèlement partiel du site (parcelles Nord) va être opéré en 2007 avec cession des parcelles à la Communauté d'Agglomération de Vichy Val d'Allier (VVA).		
2014	06	26		2014	06	26		un_procès_verbal_de_récolement	Conformément aux articles L.512-12 et R.512-39-4 du code de l'Environnement, un procès verbal de récolement et un arrêté préfectoral prescrivant un suivi de la qualité des eaux souterraines ont été présentés en CoDERST le 26 juin 2014 et ont reçus un avis favorable.		
2009				2009				Des_mesures_effectuées	Des mesures effectuées en 2005 et 2009, dans les eaux et les sédiments de la rivière le Sichon, ont démontrés qu'il n'y a aucun impact.		
2014	11	26		2014	11	26		ont_été_instaurées	Aussi, des restrictions d'usage ont été instaurées de manière à s'assurer de la compatibilité sanitaire des usages avec les sols, par un arrêté préfectoral de servitudes d'utilité publique en date du 26/11/2014.		
2008				2008				toute_activité	Le site a définitivement cessé toute activité en 2008.		
1980				1980				devient	La société changera régulièrement de raison sociale; en 1980, elle devient MANURHIN; en 1987, MATRA MANURHIN DEFENSE et en 1991, MANURHIN DEFENSE.		'elle devient MANURHIN', 'MATRA MANURHIN DEFENSE', 'MANURHIN DEFENSE'
2013	09			2013	09			les_travaux_de_dépollution	A partir de septembre 2013, les travaux de dépollution des sols ont été engagés, dans le respect des prescriptions de l'arrêté de dépollution et notamment des valeurs maxi autorisées pour les rejets eau et air et pour les seuils de dépollution des terres.		
