Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2008	09	15		2008	09	15		Un_rapport	Un rapport du BURGEAP en date du 15 septembre 2008 a conclu sur le fait que la radioactivité décelée sur le site n'était pas supérieure au bruit de fond naturel sur cette friche industrielle et que ce site pouvait être considéré comme non contaminé radiologiquement.		'BURGEAP'
2008	05			2008	05			a_également_rédigé	Le cabinet EGES a également rédigé en mai 2008 un plan de gestion visant à définir les préconisations à retenir pendant et après les travaux de réaménagement du site pour prendre en compte les voies de transfert potentielles de la pollution rencontrée sur le site.		'Le cabinet EGES'
2007	06	07		2007	06	07		ont_été_signées	Des restrictions d'usage conventionnelles au profit de l’État ont été signées dans une première version le 07/06/2007, et dans une nouvelle version le 14 mai (et 4 juin) 2012.		
2015	02	12		2015	02	12		a_fait_part	Le 12 février 2015, le mandataire judiciaire a fait part des documents certifiants les actions faites :		
								ont_été_signées	Des restrictions d'usage conventionnelles au profit de l’État ont été signées dans une première version le 07/06/2007, et dans une nouvelle version le 14 mai (et 4 juin) 2012.		
2014	10	1		2014	10	1		une_visite_d__inspection	Après une visite d'inspection le 1er octobre 2014, il a été constaté une absence de traces visuelles significatives de pollutions sur le site.  Après analyse du mémoire de cessation d'activité et suite à l'inspection, le principale manquement concernait l'absence de transmission des justificatifs d'élimination des déchets et des certificats de dégazage des cuves enterrées.	'élimination des déchets'	
2017	08	03		2017	08	03		a_donc_pu_être_délivré	Le procès verbal de recollement au sens de l'article R.512-39-3 du code de l'environnement a donc pu être délivré le 3 août 2017.		
1933				1933				avait_en_effet_été_autorisée	La Société PHOSPHO-GUANO avait en effet été autorisée en 1897, 1933 et 1950 à exploiter une usine de fabrication d'acide sulfurique, sulfate de cuivre et engrais chimiques ainsi qu'une fonderie de fonte et de bronze.	'acide sulfurique', 'sulfate', 'cuivre', 'engrais chimiques'	'La Société PHOSPHO - GUANO'
1988				1988				est_propriétaire	La Société SICA Atlantique est propriétaire depuis 1988 d’un ensemble immobilier industriel anciennement à usage de fabrication et de stockage d'engrais et produits chimiques (17000) à l'angle de la rue Montcalm et de l'avenue Denfert-Rochereau.		'La Société SICA Atlantique'
2012				2012				ont_été_signées	Des restrictions d'usage conventionnelles au profit de l’État ont été signées dans une première version le 07/06/2007, et dans une nouvelle version le 14 mai (et 4 juin) 2012.		
2011				2011				a_cessé_ses_activités	Cette unité a cessé ses activités à la fin de l'année 2011 et un mandataire judiciaire a été nommé.		
2007	10	15		2007	10	15		obtient	Le 15 octobre 2007, la société BIONERGY PILOT, fililale du groupe SICA Atlantique obtient, sur une partie de ce site, l'autorisation préfectorale d'exploiter une unité pilote de production de biocarburants.	'biocarburants'	'la société BIONERGY PILOT', 'groupe SICA Atlantique'
								une_nouvelle_version	Des restrictions d'usage conventionnelles au profit de l’État ont été signées dans une première version le 07/06/2007, et dans une nouvelle version le 14 mai (et 4 juin) 2012.		
1989				1989				un_diagnostic_préliminaire_identifie	En 1989, un diagnostic préliminaire identifie les sources possibles de pollutions du sol par les acides, le cuivre, le plomb, le zinc, l'arsenic, le fluor, les sulfates, les nitrates, les phosphates et autres métaux lourds.	'les acides', 'le cuivre', 'plomb', 'zinc', 'arsenic', 'fluor', 'les sulfates', 'les nitrates', 'les phosphates', 'métaux lourds'	
1897				1897				avait_en_effet_été_autorisée	La Société PHOSPHO-GUANO avait en effet été autorisée en 1897, 1933 et 1950 à exploiter une usine de fabrication d'acide sulfurique, sulfate de cuivre et engrais chimiques ainsi qu'une fonderie de fonte et de bronze.	'acide sulfurique', 'sulfate', 'cuivre', 'engrais chimiques'	'La Société PHOSPHO - GUANO'
2006	05	12		2006	05	12		a_été_imposée	La surveillance semestrielle des eaux souterraines a été imposée par arrêté préfectoral fixant des prescriptions complémentaires du 12 mai 2006.		
