Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2002	11			2002	11			prescrit	Un arrêté préfectoral du 11 décembre 2002 prescrit alors à la société INITIATIVES DECORATION, qui a repris la société GABACHIM DECO en novembre 2002, une surveillance trimestrielle de la qualité des eaux souterraines dans trois piézomètres et les eaux superficielles à la fontaine de la Céphons.		'la société INITIATIVES DECORATION', 'la société GABACHIM DECO'
2002	11			2002	11			a_repris	Un arrêté préfectoral du 11 décembre 2002 prescrit alors à la société INITIATIVES DECORATION, qui a repris la société GABACHIM DECO en novembre 2002, une surveillance trimestrielle de la qualité des eaux souterraines dans trois piézomètres et les eaux superficielles à la fontaine de la Céphons.		'la société INITIATIVES DECORATION', 'la société GABACHIM DECO'
2002	01	28		2002	01	28		Une_étude_des_sols	Une étude des sols et l'étude simplifiée des risques ont été transmises le 28 janvier 2002.		
2003				2003				a_été_réduite	Suite aux résultats de la campagne d'analyses de l'année 2003, la fréquence des analyses a été réduite à deux par an au lieu de quatre initialement.		
2004	11			2004	11			La_campagne_de_mesures	La campagne de mesures de novembre 2004 permet de constater une dégradation de la situation en Hydrocarbures totaux (passage de 87 à 310 μg/L), mais une diminution en chlorure de vinyle (1,4 μg/L).	'Hydrocarbures totaux', 'chlorure de vinyle'	
2002	09	19		2002	09	19		a_été_refusée	La requête de Gabachim Deco demandant l'annulation des prescriptions de l'article 2 de l'arrêté du 9 décembre 1998 a été refusée par le Tribunal Administratif le 19 septembre 2002.		'le Tribunal Administratif'
1999	04	20		1999	04	20		a_été_attaqué	L'arrêté préfectoral du 9 décembre 1998, imposant le diagnostic initial et l'étude simplifiée des risques (ESR), a été attaqué au Tribunal Administratif le 20 avril 1999 par la société GABACHIM DECO, ancien exploitant et responsable reconnu par le préfet.		'la société GABACHIM DECO', 'le préfet'
2003				2003				la_campagne_d__analyses	Suite aux résultats de la campagne d'analyses de l'année 2003, la fréquence des analyses a été réduite à deux par an au lieu de quatre initialement.		
2003				2003				cours_de	Quatre campagnes de mesures ont été réalisées au cours de l'année 2003.		
1997	10	15		1997	10	15		n__exploite_plus	Depuis le 15 octobre 1997, la société GABACHIM n'exploite plus le site qui a été cédé à une autre société.		'la société GABACHIM'
2002	03			2002	03			soit_mise_en_place	L'Inspection des Installations Classées a demandé qu'une surveillance des eaux souterraines soit mise en place avant la fin mars 2002, que l'évaluation simplifiée des risques soit mise à jour et que l'exploitant réalise une étude technico-économique sur la dépollution totale ou partielle du site.		
