Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
								la_transmission	La société INTERDECAF s’est vue prescrire par arrêté préfectoral complémentaire du 4 janvier 2013 la transmission, dans un délai de 3 mois, d’un mémoire de réhabilitation du site pour un usage industriel conforme aux prescriptions de l’article R 512-39-3 du Code de l’environnement.		'La société INTERDECAF'
								a_été_complété	Il a été complété le 25 septembre 2013 par la remise d’analyses supplémentaires des eaux souterraines et des sols puis à la demande de l’Inspection, les 5 et 13 décembre 2013 ainsi que le 24 janvier 2014 par des plans et 2 notes complémentaires.		
				2012	11	13		Des_travaux_de_dépollution	Des travaux de dépollution ont été réalisés du 23 octobre au 13 novembre 2012.		
2013	09	25		2013	09	25		a_été_complété	Il a été complété le 25 septembre 2013 par la remise d’analyses supplémentaires des eaux souterraines et des sols puis à la demande de l’Inspection, les 5 et 13 décembre 2013 ainsi que le 24 janvier 2014 par des plans et 2 notes complémentaires.		
1998	01	30		1998	01	30		était_encadré_par	Le fonctionnement des installations, soumis à autorisation, était encadré par l'arrêté préfectoral du 30 janvier 1998.		
2012	08	29		2012	08	29		une_visite_d__inspection	La mise en sécurité des installations a été constatée lors d'une visite d'inspection effectuée le 29 août 2012.		
				2010	12	24		a_exploité	La société INTERDECAF a exploité jusqu'au 24 décembre 2010, 70 rue de la Plaine des Bouchers à Strasbourg, une usine de décaféination.		'La société INTERDECAF'
2013	05	02		2013	05	02		a_été_transmis	Le mémoire prescrit a été transmis le 2 mai 2013.		
2013	12	13		2013	12	13		a_été_complété	Il a été complété le 25 septembre 2013 par la remise d’analyses supplémentaires des eaux souterraines et des sols puis à la demande de l’Inspection, les 5 et 13 décembre 2013 ainsi que le 24 janvier 2014 par des plans et 2 notes complémentaires.		
2013	01			2013	01			la_transmission	La société INTERDECAF s’est vue prescrire par arrêté préfectoral complémentaire du 4 janvier 2013 la transmission, dans un délai de 3 mois, d’un mémoire de réhabilitation du site pour un usage industriel conforme aux prescriptions de l’article R 512-39-3 du Code de l’environnement.		'La société INTERDECAF'
