Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2000	11	07		2000	11	07		Un_diagnostic_initial_du_site	Un diagnostic initial du site et une évaluation simplifiée des risques ont été prescrits au responsable du site (société SITA DECTRA) par arrêté préfectoral du 7 novembre 2000, et communiqués par l'exploitant en fin septembre 2001.		'société SITA DECTRA'
1999				1999				des_prélèvements_de_sols	A la suite d'une intervention du maire de la commune en 1998, des prélèvements de sols ont été réalisés en 1999 et ont montré une pollution par hydrocarbures et métaux sur deux fosses.	'hydrocarbures'	
								la_réhabilitation_de	L'inspection des installations classées a demandé le 13 mars 2002 au responsable du site de faire des propositions pour la réhabilitation de ce site sous 3 mois.		
				1975				ont_été_stockés	Des déchets divers dont la nature n'est pas connue avec précision (matières de vidanges, huiles, ...) ont été stockés dans des fosses à proximité de l'ancienne carrière de Neuilly-sur-Suize jusqu'en 1975.	'Des déchets divers', 'huiles'	
2002	12	16		2002	12	16		l__étude_de_réhabilitation	La solution envisagée dans l'étude de réhabilitation du 16 décembre 2002 est de confiner les sols pollués (avec une surveillance de la qualité des eaux de ruissellement ainsi que de la clôture mise en place autour de la zone de confinement et des bassins).		
2006	11	09		2006	11	09		Le_chantier_de_dépollution	Le chantier de dépollution/réhabilitation a démarré le 9 novembre 2006 pour une réception de celui-ci le 15 mars 2007.		
2002	03	13		2002	03	13		a_demandé	L'inspection des installations classées a demandé le 13 mars 2002 au responsable du site de faire des propositions pour la réhabilitation de ce site sous 3 mois.		
2007	03	15		2007	03	15		une_réception_de_celui_ci	Le chantier de dépollution/réhabilitation a démarré le 9 novembre 2006 pour une réception de celui-ci le 15 mars 2007.		
								s__est_produit	Afin de répondre aux inquiétudes du maire de la commune au sujet d'un écoulement qui s'est produit dans les années 1974 à partir des fosses, l'inspection des installations classées a demandé à l'exploitant par courrier du 21 juillet 2003 de procéder à une campagne de sondages complémentaires en contrebas des fosses, au niveau de terres agricoles.  En effet, un premier sondage (en 2001) en aval des fosses révélait la présence d'hydrocarbures (toutefois : concentration inférieure aux valeurs seuils préconisées), une lentille de pollution pouvait donc être présente.	"d' hydrocarbures"	
2005	11	14		2005	11	14		a_été_signé	L'arrêté préfectoral encadrant la dépollution/réhabilitation du site a été signé le 14 novembre 2005.		
1999	10			1999	10			Les_prélèvements_de_sols	Les prélèvements de sols dans les remblais des fosses ont été effectués par le Bureau de Recherche Géologique et Minière (dans le cadre de sa mission de service public) à la demande de la DRIRE Champagne-Ardenne en octobre 1999.		'le Bureau de Recherche Géologique et Minière', 'la DRIRE Champagne'
2007	04	13		2007	04	13		a_procédé_à_une_visite	L'inspection des installations classées a procédé à une visite du site le 13 avril 2007 afin de constater que l'ensemble des travaux de réhabilitation ont bien été réalisés conformément aux exigences de l'arrêté préfectoral du 14/11/05 modifié.		
1998				1998				des_prélèvements_de_sols	A la suite d'une intervention du maire de la commune en 1998, des prélèvements de sols ont été réalisés en 1999 et ont montré une pollution par hydrocarbures et métaux sur deux fosses.	'hydrocarbures'	
2001				2001				__un_premier_sondage	Afin de répondre aux inquiétudes du maire de la commune au sujet d'un écoulement qui s'est produit dans les années 1974 à partir des fosses, l'inspection des installations classées a demandé à l'exploitant par courrier du 21 juillet 2003 de procéder à une campagne de sondages complémentaires en contrebas des fosses, au niveau de terres agricoles.  En effet, un premier sondage (en 2001) en aval des fosses révélait la présence d'hydrocarbures (toutefois : concentration inférieure aux valeurs seuils préconisées), une lentille de pollution pouvait donc être présente.	"d' hydrocarbures"	
2003	08	04		2003	08	04		ont_été_réalisés	Le 4 août 2003, les travaux complémentaires ont été réalisés (excavation de ce spot) et les résultats des prélèvements de 7 nouveaux sondages à la limite des terres agricoles ont donc permis de confirmer l'absence d'impact.		
1998				1998				une_intervention	A la suite d'une intervention du maire de la commune en 1998, des prélèvements de sols ont été réalisés en 1999 et ont montré une pollution par hydrocarbures et métaux sur deux fosses.	'hydrocarbures'	
2006	10	25		2006	10	25		a_été_complété	Cet arrêté a été complété le 25 octobre 2006 pour tenir compte de la proposition de la société SITA DECTRA (modification de la structure de confinement visant à améliorer son efficacité et sa durabilité).		'la société SITA DECTRA'
2001	01			2001	01			Des_études_complémentaires	Des études complémentaires, rendues au mois de janvier 2001, ont mis en évidence la présence de deux autres fosses avec une pollution localisée, surtout aux hydrocarbures, dans la couche comprise entre 0,3 et 0,7 m de profondeur.	'hydrocarbures'	
