Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2009	05			2009	05			complété	RAFFAULT (SCI Métral) s'est substitué aux obligations du liquidateur judiciaire représentant le dernier exploitant et a mandaté le bureau d'étude Rph Environnement pour faire réaliser une étude de sol (réalisée en mars 2006 et transmise à l’inspection des installations classées en juillet 2008) et fait réaliser par BG Ingénieurs Conseils un plan de gestion environnemental complété en mai 2009.		'RAFFAULT ( SCI Métral', 'BG Ingénieurs'
2010	06	01		2010	06	01		l__exécution_des_travaux	Par Arrêté préfectoral d’exécution des travaux d'office signé le 1 juin 2010, il a été ordonnée l’exécution des travaux suivant:		
2005	01	13		2005	01	13		est_désigné_liquidateur_judiciaire	Maître SABOURIN est désigné liquidateur judiciaire du site, le 13 janvier 2005.		'Maître SABOURIN'
2005	10	26		2005	10	26		Une_visite	Une visite des installations à donc été réalisé par l'inspecteur des installations classées, le 26 octobre 2005.		
2007	02	08		2007	02	08		a_été_constitué	Conformément à la circulaire du 8 février 2007, un dossier de saisine en vue d'une intervention ADEME a été constitué et une demande de saisine, le 30 octobre 2009, a été faite, par le préfet du Rhône auprès du ministère chargé de l'environnement, pour solliciter son accord afin de conduire le projet de mise en sécurité du site industriel.		'le préfet du Rhône'
2005	10	25		2005	10	25		a_déclaré	Dans le cadre de l'instruction du dossier de cessation d'activité, Maître SABOURIN,  liquidateur judiciaire de la société SPEL a déclaré au préfet du Rhône le 25 octobre 2005, la présence sur le site de produits chimiques dangereux.	'de produits chimiques dangereux'	'Maître SABOURIN', 'de la société SPEL'
2008	07			2008	07			a_mandaté	RAFFAULT (SCI Métral) s'est substitué aux obligations du liquidateur judiciaire représentant le dernier exploitant et a mandaté le bureau d'étude Rph Environnement pour faire réaliser une étude de sol (réalisée en mars 2006 et transmise à l’inspection des installations classées en juillet 2008) et fait réaliser par BG Ingénieurs Conseils un plan de gestion environnemental complété en mai 2009.		'RAFFAULT ( SCI Métral', 'BG Ingénieurs'
2010	02	12		2010	02	12		a_donné_son_accord	Le Ministère de l’Écologie, de l’Énergie, du Développement durable et de la Mer a donné son accord pour cette intervention, le 12 février 2010.		'la Mer'
2012	02			2012	02			la_seconde_campagne_de_surveillance	Le rapport final relatif à l'IEM sera prochainement transmis par l'ADEME ainsi que les résultats de la seconde campagne de surveillance sur les eaux souterraines (mise en place des derniers piézomètres en février 2012).		
2009	10	30		2009	10	30		a_été_faite	Conformément à la circulaire du 8 février 2007, un dossier de saisine en vue d'une intervention ADEME a été constitué et une demande de saisine, le 30 octobre 2009, a été faite, par le préfet du Rhône auprès du ministère chargé de l'environnement, pour solliciter son accord afin de conduire le projet de mise en sécurité du site industriel.		'le préfet du Rhône'
2009	05			2009	05			est_substitué_aux_obligations_du_liquidateur_judiciaire	RAFFAULT (SCI Métral) s'est substitué aux obligations du liquidateur judiciaire représentant le dernier exploitant et a mandaté le bureau d'étude Rph Environnement pour faire réaliser une étude de sol (réalisée en mars 2006 et transmise à l’inspection des installations classées en juillet 2008) et fait réaliser par BG Ingénieurs Conseils un plan de gestion environnemental complété en mai 2009.		'RAFFAULT ( SCI Métral', 'BG Ingénieurs'
2008	01	08		2008	01	08		à_une_visite_d__inspection_courante	Suite à une visite d'inspection courante du 8 janvier 2008, il a été noté que la mise en sécurité du site avait été réalisé et plus aucun produit dangereux ou déchet n'était stocké.		
2005	06	30		2005	06	30		a_été_remis	Un dossier de cessation d'activité a été remis le 30 juin 2005.		
				2005				effectuait_des_travaux_de_traitement	La société SPEL, située à Villeurbanne au milieu de l'îlot Gervais Bussière, effectuait des travaux de traitement du surface depuis le début des années 50 jusqu'en 2005.		'La société SPEL'
2005	10	27		2005	10	27		a_donc_été_pris	Un arrêté préfectoral de prescriptions d'urgence (art L 512-7 ou L 512-12) a donc été pris le 27/10/2005 pour encadrer la remise en état du site.		
2006	03			2006	03			faire_réaliser_une_étude_de_sol	RAFFAULT (SCI Métral) s'est substitué aux obligations du liquidateur judiciaire représentant le dernier exploitant et a mandaté le bureau d'étude Rph Environnement pour faire réaliser une étude de sol (réalisée en mars 2006 et transmise à l’inspection des installations classées en juillet 2008) et fait réaliser par BG Ingénieurs Conseils un plan de gestion environnemental complété en mai 2009.		'RAFFAULT ( SCI Métral', 'BG Ingénieurs'
