Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
1996				1996				démantèlement	En 1996 démantèlement de l'atelier d'anodes.		
2017	04	06		2017	04	06		Une_visite_d__inspection	Une visite d'inspection a été réalisée le 6 avril 2017 et a permis de constater la réalisation effective des travaux de réhabilitation.		
2002	09	24		2002	09	24		a_permis_de	Les activités exercées sur le site étant susceptibles d'avoir été à l'origine d'une pollution éventuelle du sol, en application de la circulaire du 3 avril 1996 par arrêté préfectoral du 26 octobre 2000 et par arrêté préfectoral de mise en demeure du 24 septembre 2002, un diagnostic initial complété par une étude simplifiée des risques a permis de ranger ce site dans la catégorie 2 "à surveiller".		
1929				1929				créée	Usine de fabrication d'aluminium par électrolyse créée en 1929 et qui comprenait deux séries de cuves, la fabrication des anodes, la fabrication des chlorates et un four électrothermique qui a fabriqué successivement du ferromanganèse, du ferrosilicium et du carbure de calcium.	'aluminium', 'chlorates', 'ferromanganèse', 'ferrosilicium', 'carbure', 'de calcium'	
2016				2016				durant_l_	La partie du site située en rive droite du Vicdessos a été réhabilitée par la société RIO TINTO durant l'année 2015-2016.		'la société RIO TINTO'
2015				2015				une_cessation_partielle_d_	En 2015, l'exploitant a déclaré une cessation partielle d'activité sur les parcelles situées en rive droite du Vicdessos et a procédé en 2016 aux travaux de réhabilitation de ces parcelles.		
2002	10	07		2002	10	07		a_été_mise_en_place	Compte tenu de la proximité de ces 3 entités le long de la rivière Vicdessos de part et d'autre de celle-ci, une surveillance semestrielle des eaux souterraines et des eaux superficielles a été mise en place depuis le 7 octobre 2002.		
1974				1974				créée	Actuellement outre les unités de fonderies et de parachèvement l'usine comprend une enclave EDF constituée par une centrale hydroélectrique, un poste de transformation EDF 63 kV, une décharge industrielle interne au site d'environ 1,4 ha, créée en 1974 et arrêtée depuis 1997.		
2016				2016				a_procédé	En 2015, l'exploitant a déclaré une cessation partielle d'activité sur les parcelles situées en rive droite du Vicdessos et a procédé en 2016 aux travaux de réhabilitation de ces parcelles.		
2003				2003				abandonne	En 2003, le site abandonne la fabrication d'alliages d'aluminium en lingots et ne conserve que l'activité de fabrication de billettes d'alliage d'aluminium et l'atelier de parachèvement (nettoyage et calibrage des billettes pour leur mise sur le marché), ce qui entraîne la réduction de 50 emplois.	"billettes d'", "alliage d' aluminium"	
1997				1997				arrêtée	Actuellement outre les unités de fonderies et de parachèvement l'usine comprend une enclave EDF constituée par une centrale hydroélectrique, un poste de transformation EDF 63 kV, une décharge industrielle interne au site d'environ 1,4 ha, créée en 1974 et arrêtée depuis 1997.		
2015				2015				durant_l_	La partie du site située en rive droite du Vicdessos a été réhabilitée par la société RIO TINTO durant l'année 2015-2016.		'la société RIO TINTO'
2016				2016				a_été_réhabilitée	La partie du site située en rive droite du Vicdessos a été réhabilitée par la société RIO TINTO durant l'année 2015-2016.		'la société RIO TINTO'
2015				2015				a_été_réhabilitée	La partie du site située en rive droite du Vicdessos a été réhabilitée par la société RIO TINTO durant l'année 2015-2016.		'la société RIO TINTO'
1955				1955				est_transformé	En 1955 le four électro-thermique est transformé en four à silicium.		
