Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
00816	14			00816	14			ont_été_instaurés	Par arrêté préfectoral 14/00816 du 17 avril 2014, des servitudes d'utilité publique ont été instaurés sur les parcelles ayant hébergé l'école du feu MICHELIN.		
2011	12			2011	12			a_été_proposé	Suite aux différentes investigations, un plan de gestion a été proposé en décembre 2011 sur la base d'un usage commercial.		
2013	04	23		2013	04	23		a_été_acquis	Le site a été acquis le 23 avril 2013 par la Sté IKEA pour l'implantation d'un point de vente de la marque.		'la Sté IKEA'
1979				1979				Implantée	Implantée en 1979, l'école du feu MICHELIN était utilisée pour l'entrainement des personnels d'intervention MICHELIN, mais également des entreprises extérieures et le SDIS.		'MICHELIN', 'le SDIS'
2011				2011				Un_diagnostic_environnemental	Un diagnostic environnemental a été réalisé en septembre et octobre 2009 par le cabiner BIOBASIC Environnement, complété par des investigations de la Sté AT Environnement en 2010 et de la Sté SITA Remédiation en 2011.		'le cabiner BIOBASIC', 'la Sté AT Environnement', 'la Sté SITA Remédiation'
2012	09	26		2012	09	26		Les_travaux_de_réhabilitation	Les travaux de réhabilitation ont été encadrés par l'arrêté préfectoral du 26/09/2012.		
2009	10			2009	10			Un_diagnostic_environnemental	Un diagnostic environnemental a été réalisé en septembre et octobre 2009 par le cabiner BIOBASIC Environnement, complété par des investigations de la Sté AT Environnement en 2010 et de la Sté SITA Remédiation en 2011.		'le cabiner BIOBASIC', 'la Sté AT Environnement', 'la Sté SITA Remédiation'
2013	04	09		2013	04	09		un_procès_verbal_de_récolement	A l'issue des travaux de remise en état, un procès verbal de récolement a été rédigé le 9 avril 2013 par l'inspection des installations classées.		
2014	04	17		2014	04	17		ont_été_instaurés	Par arrêté préfectoral 14/00816 du 17 avril 2014, des servitudes d'utilité publique ont été instaurés sur les parcelles ayant hébergé l'école du feu MICHELIN.		
								Un_diagnostic_environnemental	Un diagnostic environnemental a été réalisé en septembre et octobre 2009 par le cabiner BIOBASIC Environnement, complété par des investigations de la Sté AT Environnement en 2010 et de la Sté SITA Remédiation en 2011.		'le cabiner BIOBASIC', 'la Sté AT Environnement', 'la Sté SITA Remédiation'
2011	02	18		2011	02	18		La_cessation_d__activité	La cessation d'activité a été notifiée au Préfet le 18/02/2011.	'Préfet'	
1989	01	10		1989	01	10		était_soumise_à_déclaration	L'école du feu MICHELIN était soumise à déclaration sous la rubrique 1432 (dépôt de liquides inflammables) et était règlementée par un arrêté préfectoral du 10/01/1989.	'de liquides inflammables'	
