Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2007	05	10		2007	05	10		est_exploité	Un centre de tri est exploité (arrêté préfectoral du 10 mai 2007) au nord-est de la ville d'Albens, entre la voie SNCF et une zone de marais, sur une surface totale de 33 000 m².		
2004	12			2004	12			Les_analyses	Les analyses sur les eaux souterraines via 3 piézomètres en décembre 2004 n'ont pas montré de contaminations.		
2011	12	06		2011	12	06		Les_analyses_des_eaux_souterraines	Les analyses des eaux souterraines du 6 décembre 2011 via 5 piézomètres n'ont pas montré de contaminations.		
								les_travaux_ont_démarré	- que les travaux ont démarré début septembre.		
2005	06			2005	06			Les_analyses	Les analyses sur les eaux souterraines via 5 piézomètres en juin 2005 ont mis en évidence les contaminations suivantes : HCT (100 µg/L), aluminium (4 110 µg/L), chrome total (336 µg/L), chrome hexavalent (300 µg/L), nickel (23 µg/L) et plomb (18 µg/L).	'HCT', 'aluminium', 'chrome total', 'chrome hexavalent', 'nickel', 'plomb'	
2000	02			2000	02			un_diagnostic	Le site a fait l'objet d'un diagnostic de sols (7 sondages) par SOCOTEC en février 2000 qui a montré la présence de contaminations en HCT (2 400 mg/kg MS), cadmium (1 mg/kg MS), chrome (850 mg/kg MS), cuivre (900 mg/kg MS), nickel (460 mg/kg MS), plomb (390 mg/kg MS) et zinc (320 mg/kg MS).	'HCT', 'cadmium', 'chrome', 'cuivre', 'nickel', 'plomb', 'zinc'	'SOCOTEC'
2005	06			2005	06			du_diagnostic_approfondi	Lors du diagnostic approfondi réalisé en juin 2005 (19 sondages), les contaminations suivantes ont été mises en évidence : HCT (3 080 mg/kg MS), HAP (153,79 mg/kg MS), PCB (1,87 mg/kg MS), cuivre (1 100 mg/kg MS) et plomb (3 500 mg/kg MS).	'HCT', 'HAP', 'PCB', 'cuivre', 'plomb'	
2004	07			2004	07			ont_été_dépolluées	Deux zones présentant des contaminations de surface ont été dépolluées en juillet 2004 par GRS VALTECH : la quantité de terres excavées et éliminées était de 37,78 T.		'GRS VALTECH'
