Year	Month	Day	Time	End Year	End Month	End Day	End Time	Event	Sentence	Institution	Pollutant
2013	09	12		2013	09	12		des_constats_réalisés_sur_site	Le préfet a pris le 03 mars 2014, des suites des constats réalisés sur site le 12 septembre 2013 par l'inspection des installations classées, deux arrêtés préfectoraux n°2960 et 2961 SG/DRCTCV prescrivant des investigations complémentaires et la mise en œuvre des travaux de dépollution nécessaires.		'Le préfet', 'DRCTCV'
1880				1880				accueillait	Le site de Sainte-Suzanne accueillait depuis au moins 1880 des activités de sucrerie (rubrique n°2225) et de distillerie (rubrique n°2250) à partir de la canne à sucre.		
2010	10	16		2010	10	16		un_changement_de_dénomination_sociale	L’exploitant a notamment déclaré à l’inspection un changement de dénomination sociale de son entreprise au profit de « Océan Indien Participation » par courrier du 16 octobre 2010.		'\xa0 Océan Indien Participation'
2008	01	03		2008	01	03		a_cédé	L’exploitant a cédé une partie des terrains à la Société d’Économie Mixte d'Aménagement et de Construction (SEMAC) de la Réunion le 03 janvier 2008.		'la Société d’ Économie Mixte', 'SEMAC', 'la Réunion'
1982				1982				arrêtées_définitivement	Ces activités arrêtées définitivement en 1982 n’ont jamais fait l’objet d’arrêtés préfectoraux au titre de la réglementation des installations classées pour l’environnement malgré l’identification des rubriques de la nomenclature concernées et mentionnées supra.		
2014	03	03		2014	03	03		a_pris	Le préfet a pris le 03 mars 2014, des suites des constats réalisés sur site le 12 septembre 2013 par l'inspection des installations classées, deux arrêtés préfectoraux n°2960 et 2961 SG/DRCTCV prescrivant des investigations complémentaires et la mise en œuvre des travaux de dépollution nécessaires.		'Le préfet', 'DRCTCV'
2003				2003				des_démarches_de_diagnostics	L’ancien exploitant a entrepris depuis 2003 des démarches de diagnostics et de travaux dans l’objectif d’une réhabilitation de cet ancien site à destination d’usages d’activités tertiaires (bureaux) et d’habitations.		
1880				1880				des_activités_de_sucrerie	Le site de Sainte-Suzanne accueillait depuis au moins 1880 des activités de sucrerie (rubrique n°2225) et de distillerie (rubrique n°2250) à partir de la canne à sucre.		
